1,2020,Data Scientist,MI,FT,"6,352,272.00",DE,DE,L,0
7,2020,Lead Data Scientist,SE,FT,"15,118,205.00",US,US,S,100
8,2020,Data Scientist,MI,FT,"2,843,416.00",HU,HU,L,50
11,2020,Data Scientist,EN,FT,"4,083,586.00",FR,FR,S,0
12,2020,Data Scientist,MI,FT,"3,221,053.00",IN,IN,L,0
13,2020,Data Scientist,EN,FT,"3,176,096.00",FR,FR,M,0
25,2020,Lead Data Scientist,MI,FT,"9,150,493.00",AE,AE,L,0
33,2020,Data Scientist,SE,FT,"5,444,782.00",GR,US,L,100
41,2020,Data Scientist,MI,FT,"3,641,100.00",PH,US,S,100
47,2020,Data Scientist,MI,FT,"6,123,510.00",GB,GB,S,100
49,2020,Data Scientist,MI,FT,"8,354,798.00",US,US,L,100
56,2020,Principal Data Scientist,SE,FT,"11,797,054.00",DE,DE,M,100
57,2020,Data Scientist,MI,FT,"3,085,387.00",ES,ES,M,100
58,2020,Data Scientist,MI,FT,"9,389,201.00",US,US,M,100
59,2020,Data Scientist,SE,FT,"9,548,340.00",US,US,L,50
60,2020,Data Scientist,MI,FT,"11,008,440.00",US,US,M,100
63,2020,Data Scientist,EN,PT,"1,724,191.00",IT,IT,S,50
64,2020,Data Scientist,SE,FT,"32,782,634.00",US,US,L,100
66,2020,Data Scientist,EN,FT,"4,991,076.00",DE,DE,S,50
67,2020,Data Scientist,EN,FT,"3,920,230.00",DE,DE,S,0
69,2020,Data Scientist,EN,FT,"8,354,798.00",US,US,S,100
70,2020,Data Scientist,SE,FT,"7,259,682.00",AT,AT,S,0
71,2020,Data Scientist,MI,FT,"4,991,076.00",FR,LU,S,50
72,2020,Data Scientist,MI,FT,"3,357,594.00",FR,FR,S,50
76,2021,Data Scientist,SE,FT,"4,232,461.00",FR,FR,L,50
83,2021,Applied Data Scientist,MI,FT,"4,315,691.00",GB,CA,L,50
95,2021,Data Scientist,EN,FT,"2,367,272.00",IN,IN,L,50
105,2021,Data Scientist,MI,FT,"5,808,574.00",US,US,L,0
117,2021,Data Scientist,MI,FT,"3,978,475.00",NG,NG,L,100
124,2021,Applied Data Scientist,EN,FT,"8,755,589.00",GB,GB,L,0
126,2021,Principal Data Scientist,MI,FT,"12,014,995.00",US,US,L,100
128,2021,Data Scientist,MI,FT,"753,205.00",IN,IN,S,0
130,2021,Lead Data Scientist,SE,FT,"3,228,135.00",IN,IN,L,50
132,2021,Data Scientist,EN,FT,"3,950,307.00",FR,FR,M,50
135,2021,Data Scientist,EN,FT,"7,956,950.00",US,US,S,0
139,2021,Principal Data Scientist,SE,FT,"17,505,290.00",US,US,L,0
140,2021,Data Scientist,EN,FT,"6,365,560.00",US,US,M,100
144,2021,Data Scientist,MI,FT,"6,564,484.00",US,US,S,100
152,2021,Data Scientist,MI,FT,"11,935,425.00",US,US,M,100
153,2021,Data Scientist,MI,FT,"6,029,299.00",CA,CA,L,100
154,2021,Data Scientist,EN,FT,"1,066,231.00",UA,UA,L,100
157,2021,Data Scientist,MI,FT,"9,473,465.00",SG,IL,M,100
174,2021,Principal Data Scientist,SE,FT,"18,698,833.00",US,US,L,100
177,2021,Data Scientist,MI,FT,"227,489.00",MX,MX,S,0
178,2021,Data Scientist,MI,FT,"3,185,804.00",CL,CL,L,100
180,2021,Data Scientist,MI,FT,"451,875.00",IN,US,S,100
182,2021,Data Scientist,MI,FT,"7,219,659.00",DE,DE,L,50
196,2021,Data Scientist,MI,FT,"11,696,717.00",US,US,L,50
201,2021,Data Scientist,MI,FT,"4,890,898.00",DE,AT,M,50
203,2021,Data Scientist,MI,FT,"3,009,716.00",ES,ES,L,100
205,2021,Data Scientist,MI,FT,"12,731,120.00",US,US,L,100
206,2021,Data Scientist,MI,FT,"1,026,526.00",BR,BR,S,0
218,2021,Data Scientist,MI,FT,"7,219,659.00",DE,DE,L,50
222,2021,Data Scientist,MI,FT,"9,302,789.00",GB,GB,L,50
223,2021,Data Scientist,MI,FT,"2,690,086.00",IN,IN,M,0
224,2021,Data Scientist,MI,FT,"4,476,262.00",GB,GB,L,50
226,2021,Principal Data Scientist,EX,CT,"33,100,912.00",US,US,S,100
227,2021,Data Scientist,SE,FT,"6,981,269.00",CA,CA,S,100
228,2021,Data Scientist,MI,FT,"7,054,154.00",DE,DE,L,50
229,2021,Data Scientist,SE,FT,"10,741,883.00",US,US,L,0
238,2021,Data Scientist,MI,FT,"3,724,569.00",ES,ES,M,100
239,2021,Data Scientist,EN,FT,"318,278.00",VN,VN,M,0
241,2021,Data Scientist,SE,FT,"8,250,641.00",CA,CA,L,100
244,2021,Data Scientist,SE,FT,"13,128,968.00",US,US,L,100
247,2021,Data Scientist,EN,FT,"2,915,665.00",FR,FR,L,50
251,2021,Data Scientist,MI,FT,"9,150,493.00",US,US,L,50
252,2021,Data Scientist,EN,FT,"7,161,255.00",US,US,S,100
254,2021,Data Scientist,EN,FT,"2,259,694.00",IN,IN,M,100
258,2021,Principal Data Scientist,SE,FT,"13,826,155.00",DE,DE,M,100
261,2021,Data Scientist,MI,FT,"10,344,035.00",US,US,L,50
263,2021,Data Scientist,MI,FT,"1,345,043.00",IN,IN,S,100
265,2021,Data Scientist,MI,FT,"2,031,568.00",RS,DE,S,100
275,2021,Data Scientist,SE,FT,"6,181,277.00",FR,FR,M,50
276,2021,Data Scientist,EN,FT,"7,956,950.00",US,US,M,100
277,2021,Data Scientist,EN,FT,"4,615,031.00",US,US,L,50
279,2021,Data Scientist,SE,FT,"1,604,996.00",TR,TR,L,50
284,2021,Staff Data Scientist,SE,CT,"8,354,798.00",US,US,M,100
288,2021,Data Scientist,MI,FT,"8,673,076.00",US,US,L,50
293,2022,Data Scientist,MI,FT,"10,344,035.00",US,US,M,0
294,2022,Data Scientist,MI,FT,"7,161,255.00",US,US,M,0
299,2022,Data Scientist,SE,FT,"10,870,785.00",US,US,M,100
300,2022,Data Scientist,SE,FT,"7,906,026.00",US,US,M,100
301,2022,Data Scientist,SE,FT,"9,372,412.00",GB,GB,M,0
302,2022,Data Scientist,SE,FT,"8,331,086.00",GB,GB,M,0
303,2022,Data Scientist,SE,FT,"11,617,147.00",US,US,M,100
304,2022,Data Scientist,SE,FT,"9,787,049.00",US,US,M,100
312,2022,Data Scientist,MI,FT,"5,206,869.00",GB,GB,M,0
313,2022,Data Scientist,MI,FT,"3,124,137.00",GB,GB,M,0
316,2022,Data Scientist,SE,FT,"13,146,473.00",US,US,M,100
318,2022,Data Scientist,SE,FT,"9,561,071.00",US,US,M,100
324,2022,Data Scientist,SE,FT,"14,322,510.00",US,US,L,0
325,2022,Data Scientist,SE,FT,"9,548,340.00",US,US,L,0
348,2022,Data Scientist,SE,FT,"7,602,866.00",US,US,M,0
353,2022,Data Scientist,SE,FT,"13,288,107.00",US,US,M,100
354,2022,Data Scientist,SE,FT,"9,787,049.00",US,US,M,100
357,2022,Data Scientist,SE,FT,"11,935,425.00",US,US,M,0
358,2022,Data Scientist,SE,FT,"16,828,949.00",US,US,M,100
366,2022,Data Scientist,SE,FT,"11,028,333.00",US,US,M,100
370,2022,Data Scientist,SE,FT,"13,526,815.00",US,US,M,100
371,2022,Data Scientist,SE,FT,"9,787,049.00",US,US,M,100
399,2022,Data Scientist,SE,FT,"17,131,313.00",US,US,L,100
400,2022,Data Scientist,SE,FT,"12,587,895.00",US,US,L,100
410,2022,Data Scientist,SE,FT,"14,322,510.00",US,US,M,100
411,2022,Data Scientist,MI,FT,"5,727,572.00",GB,GB,M,0
412,2022,Data Scientist,MI,FT,"3,644,840.00",GB,GB,M,0
417,2022,Data Scientist,SE,FT,"20,688,070.00",US,US,M,100
424,2022,Data Scientist,SE,FT,"14,322,510.00",US,US,M,0
425,2022,Data Scientist,SE,FT,"6,365,560.00",US,US,M,0
429,2022,Data Scientist,SE,FT,"11,171,558.00",US,US,L,0
445,2022,Data Scientist,SE,FT,"17,131,313.00",US,US,L,0
460,2022,Data Scientist,MI,FT,"2,515,590.00",IN,IN,L,100
464,2022,Data Scientist,EN,FT,"1,467,421.00",IN,IN,M,100
465,2022,Principal Data Scientist,SE,FT,"12,943,889.00",DE,DE,M,100
468,2022,Data Scientist,SE,FT,"8,346,045.00",US,US,M,100
470,2022,Data Scientist,SE,FT,"11,139,730.00",US,US,M,100
473,2022,Data Scientist,SE,FT,"17,505,290.00",US,US,M,100
474,2022,Data Scientist,SE,FT,"11,139,730.00",US,US,M,100
475,2022,Data Scientist,MI,FT,"14,579,360.00",GB,GB,M,0
476,2022,Data Scientist,MI,FT,"7,289,680.00",GB,GB,M,0
477,2022,Data Scientist,SE,FT,"14,728,314.00",US,US,M,100
479,2022,Data Scientist,MI,FT,"15,913,900.00",US,US,M,100
480,2022,Data Scientist,MI,FT,"9,548,340.00",US,US,M,100
487,2022,Data Scientist,SE,FT,"18,300,985.00",US,US,M,100
488,2022,Data Scientist,EN,PT,"7,956,950.00",DZ,DZ,M,50
489,2022,Data Scientist,MI,FL,"7,956,950.00",CA,US,M,100
493,2022,Data Scientist,MI,FT,"2,831,879.00",PL,PL,L,100
495,2022,Data Scientist,SE,FT,"7,956,950.00",BR,US,M,100
498,2022,Data Scientist,SE,FT,"13,128,968.00",US,US,M,100
